"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.61.38","35.186.224.40","TLSv1.2","82","Application Data"
"2","0.203109","35.186.224.40","192.168.61.38","TCP","60","443  >  51926 [ACK] Seq=1 Ack=29 Win=272 Len=0"
"3","0.203109","35.186.224.40","192.168.61.38","TLSv1.2","78","Application Data"
"4","0.203109","162.159.134.234","192.168.61.38","TLSv1.2","423","Application Data"
"5","0.239873","192.168.61.38","162.159.134.234","TCP","60","52733  >  443 [ACK] Seq=1 Ack=370 Win=256 Len=0"
"6","0.239873","192.168.61.38","35.186.224.40","TCP","60","51926  >  443 [ACK] Seq=29 Ack=25 Win=254 Len=0"
"7","3.613400","192.168.61.38","162.159.134.234","TLSv1.2","108","Application Data"
"8","3.650270","162.159.134.234","192.168.61.38","TLSv1.2","148","Application Data"
"9","3.657300","162.159.134.234","192.168.61.38","TCP","60","443  >  52733 [ACK] Seq=464 Ack=55 Win=10 Len=0"
"10","3.693951","192.168.61.38","162.159.134.234","TCP","60","52733  >  443 [ACK] Seq=55 Ack=464 Win=256 Len=0"
"11","3.947377","162.159.134.234","192.168.61.38","TLSv1.2","98","Application Data"
"12","3.987179","192.168.61.38","162.159.134.234","TCP","60","52733  >  443 [ACK] Seq=55 Ack=508 Win=256 Len=0"
"13","4.011979","192.168.61.38","203.17.244.55","TCP","60","51964  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1"
"14","4.117258","203.17.244.55","192.168.61.38","TCP","60","443  >  51964 [ACK] Seq=0 Ack=2 Win=11 Len=0"
"15","4.117259","192.168.61.38","203.17.244.55","TCP","60","[TCP Dup ACK 13#1] [TCP ACKed unseen segment] 51964  >  443 [ACK] Seq=2 Ack=1 Win=256 Len=0"
"16","4.256668","203.17.244.55","192.168.61.38","TCP","66","[TCP Previous segment not captured] 443  >  51964 [ACK] Seq=1 Ack=2 Win=11 Len=0 SLE=1 SRE=2"
"17","7.860638","192.168.61.38","104.199.241.202","TCP","65","51914  >  4070 [PSH, ACK] Seq=1 Ack=1 Win=254 Len=11"
"18","8.027815","104.199.241.202","192.168.61.38","TCP","65","4070  >  51914 [PSH, ACK] Seq=1 Ack=12 Win=6 Len=11"
"19","8.067105","192.168.61.38","104.199.241.202","TCP","60","51914  >  4070 [ACK] Seq=12 Ack=12 Win=254 Len=0"
"20","8.483230","162.159.134.234","192.168.61.38","TLSv1.2","203","Application Data"
"21","8.523049","192.168.61.38","162.159.134.234","TCP","60","52733  >  443 [ACK] Seq=55 Ack=657 Win=255 Len=0"
"22","9.131826","162.159.134.234","192.168.61.38","TLSv1.2","149","Application Data"
"23","9.160205","192.168.61.38","162.159.134.234","TCP","60","52733  >  443 [ACK] Seq=55 Ack=752 Win=255 Len=0"
"24","11.133892","192.168.61.38","23.35.37.80","TCP","60","52732  >  443 [FIN, ACK] Seq=1 Ack=1 Win=254 Len=0"
"25","11.183743","23.35.37.80","192.168.61.38","TLSv1.2","78","Application Data"
"26","11.183743","23.35.37.80","192.168.61.38","TCP","60","443  >  52732 [FIN, ACK] Seq=25 Ack=2 Win=501 Len=0"
"27","11.183743","192.168.61.38","23.35.37.80","TCP","60","52732  >  443 [RST, ACK] Seq=2 Ack=25 Win=0 Len=0"
"28","13.430517","192.168.61.38","224.0.0.251","MDNS","238","Standard query response 0x0000 PTR TheKiller._dosvc._tcp.local SRV 0 0 7680 TheKiller.local TXT"
"29","13.430518","fe80::4180:257f:ca58:f03f","ff02::fb","MDNS","258","Standard query response 0x0000 PTR TheKiller._dosvc._tcp.local SRV 0 0 7680 TheKiller.local TXT"
"30","13.431779","192.168.61.38","224.0.0.251","MDNS","87","Standard query 0x0000 ANY TheKiller._dosvc._tcp.local, ""QM"" question"
"31","13.431779","fe80::4180:257f:ca58:f03f","ff02::fb","MDNS","107","Standard query 0x0000 ANY TheKiller._dosvc._tcp.local, ""QM"" question"
"32","13.684685","192.168.61.38","224.0.0.251","MDNS","87","Standard query 0x0000 ANY TheKiller._dosvc._tcp.local, ""QM"" question"
"33","13.684685","fe80::4180:257f:ca58:f03f","ff02::fb","MDNS","107","Standard query 0x0000 ANY TheKiller._dosvc._tcp.local, ""QM"" question"
"34","13.933323","192.168.61.38","224.0.0.251","MDNS","87","Standard query 0x0000 ANY TheKiller._dosvc._tcp.local, ""QM"" question"
"35","13.933324","fe80::4180:257f:ca58:f03f","ff02::fb","MDNS","107","Standard query 0x0000 ANY TheKiller._dosvc._tcp.local, ""QM"" question"
"36","14.184987","192.168.61.38","224.0.0.251","MDNS","353","Standard query response 0x0000 PTR, cache flush TheKiller._dosvc._tcp.local SRV, cache flush 0 0 7680 TheKiller.local TXT, cache flush A, cache flush 192.168.61.38 AAAA, cache flush 2409:4050:2d17:a717:c45a:9fb2:5933:e556 AAAA, cache flush 2409:4050:2d17:a717:5919:d4b2:62b0:c143 AAAA, cache flush fe80::4180:257f:ca58:f03f"
"37","14.185539","fe80::4180:257f:ca58:f03f","ff02::fb","MDNS","373","Standard query response 0x0000 PTR, cache flush TheKiller._dosvc._tcp.local SRV, cache flush 0 0 7680 TheKiller.local TXT, cache flush A, cache flush 192.168.61.38 AAAA, cache flush 2409:4050:2d17:a717:c45a:9fb2:5933:e556 AAAA, cache flush 2409:4050:2d17:a717:5919:d4b2:62b0:c143 AAAA, cache flush fe80::4180:257f:ca58:f03f"
"38","14.190668","192.168.61.38","224.0.0.251","MDNS","295","Standard query response 0x0000 SRV, cache flush 0 0 7680 TheKiller.local TXT, cache flush A, cache flush 192.168.61.38 AAAA, cache flush 2409:4050:2d17:a717:c45a:9fb2:5933:e556 AAAA, cache flush 2409:4050:2d17:a717:5919:d4b2:62b0:c143 AAAA, cache flush fe80::4180:257f:ca58:f03f"
"39","14.190668","fe80::4180:257f:ca58:f03f","ff02::fb","MDNS","315","Standard query response 0x0000 SRV, cache flush 0 0 7680 TheKiller.local TXT, cache flush A, cache flush 192.168.61.38 AAAA, cache flush 2409:4050:2d17:a717:c45a:9fb2:5933:e556 AAAA, cache flush 2409:4050:2d17:a717:5919:d4b2:62b0:c143 AAAA, cache flush fe80::4180:257f:ca58:f03f"
"40","14.242764","192.168.61.38","203.17.244.55","TCP","60","[TCP Keep-Alive] 51964  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1"
"41","14.330803","203.17.244.55","192.168.61.38","TCP","60","[TCP Keep-Alive] 443  >  51964 [ACK] Seq=0 Ack=2 Win=11 Len=0"
"42","14.330804","192.168.61.38","203.17.244.55","TCP","60","[TCP Keep-Alive ACK] 51964  >  443 [ACK] Seq=2 Ack=1 Win=256 Len=0"
"43","14.484489","203.17.244.55","192.168.61.38","TCP","66","[TCP Dup ACK 14#1] 443  >  51964 [ACK] Seq=1 Ack=2 Win=11 Len=0 SLE=1 SRE=2"
"44","15.528253","162.159.134.234","192.168.61.38","TLSv1.2","193","Application Data"
"45","15.568406","192.168.61.38","162.159.134.234","TCP","60","52733  >  443 [ACK] Seq=55 Ack=891 Win=254 Len=0"
"46","16.208419","36:46:14:5a:86:a7","Broadcast","ARP","60","Who has 192.168.61.38? Tell 192.168.61.104"
"47","16.208419","ChongqingFug_39:62:2d","36:46:14:5a:86:a7","ARP","60","192.168.61.38 is at c8:94:02:39:62:2d"
"48","17.382309","192.168.61.38","172.64.155.209","TCP","60","52675  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1"
"49","17.432577","162.159.134.234","192.168.61.38","TLSv1.2","188","Application Data"
"50","17.438801","172.64.155.209","192.168.61.38","TCP","66","443  >  52675 [ACK] Seq=1 Ack=2 Win=24 Len=0 SLE=1 SRE=2"
"51","17.473238","192.168.61.38","162.159.134.234","TCP","60","52733  >  443 [ACK] Seq=55 Ack=1025 Win=254 Len=0"
"52","17.625826","2409:4050:2d17:a717:85f2:d0f:e704:d042","2620:2d:4000:1::3f","NTP","110","NTP Version 4, client"
"53","17.642156","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2606:4700:9642:7cbc:c264:60:5ff2:75c4","TCP","75","52678  >  443 [ACK] Seq=1 Ack=1 Win=520 Len=1"
"54","17.691635","2606:4700:9642:7cbc:c264:60:5ff2:75c4","2409:4050:2d17:a717:5919:d4b2:62b0:c143","TCP","86","443  >  52678 [ACK] Seq=1 Ack=2 Win=81 Len=0 SLE=1 SRE=2"
"55","17.873003","2620:2d:4000:1::3f","2409:4050:2d17:a717:85f2:d0f:e704:d042","NTP","110","NTP Version 4, server"
"56","20.020850","192.168.61.38","192.168.61.255","UDP","86","57621  >  57621 Len=44"
"57","22.476546","192.168.61.38","104.18.156.37","TCP","60","52720  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1"
"58","22.543781","104.18.156.37","192.168.61.38","TCP","66","443  >  52720 [ACK] Seq=1 Ack=2 Win=11 Len=0 SLE=1 SRE=2"
"59","22.659432","162.159.134.234","192.168.61.38","TLSv1.2","1209","Application Data"
"60","22.700928","192.168.61.38","162.159.134.234","TCP","60","52733  >  443 [ACK] Seq=55 Ack=2180 Win=256 Len=0"
"61","22.713127","192.168.61.38","162.159.134.234","TLSv1.2","144","Application Data"
"62","22.779787","162.159.134.234","192.168.61.38","TCP","60","443  >  52733 [ACK] Seq=2180 Ack=145 Win=10 Len=0"
"63","22.901253","fe80::ddcd:f7c8:ab7:5d6e","fe80::3446:14ff:fe5a:86a7","ICMPv6","86","Neighbor Solicitation for fe80::3446:14ff:fe5a:86a7 from 08:00:27:8a:8f:e4"
"64","22.905898","fe80::3446:14ff:fe5a:86a7","fe80::ddcd:f7c8:ab7:5d6e","ICMPv6","78","Neighbor Advertisement fe80::3446:14ff:fe5a:86a7 (rtr, sol)"
"65","23.327306","162.159.134.234","192.168.61.38","TLSv1.2","98","Application Data"
"66","23.373970","192.168.61.38","162.159.134.234","TCP","60","52733  >  443 [ACK] Seq=145 Ack=2224 Win=256 Len=0"
"67","23.952869","162.159.134.234","192.168.61.38","TLSv1.2","177","Application Data"
"68","23.992939","192.168.61.38","162.159.134.234","TCP","60","52733  >  443 [ACK] Seq=145 Ack=2347 Win=256 Len=0"
"69","24.620166","192.168.61.38","203.17.244.55","TCP","60","[TCP Keep-Alive] 51964  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1"
"70","24.705234","203.17.244.55","192.168.61.38","TCP","60","[TCP Keep-Alive] 443  >  51964 [ACK] Seq=0 Ack=2 Win=11 Len=0"
"71","24.705235","192.168.61.38","203.17.244.55","TCP","60","[TCP Keep-Alive ACK] 51964  >  443 [ACK] Seq=2 Ack=1 Win=256 Len=0"
"72","24.834700","203.17.244.55","192.168.61.38","TCP","66","[TCP Dup ACK 14#2] 443  >  51964 [ACK] Seq=1 Ack=2 Win=11 Len=0 SLE=1 SRE=2"
"73","26.509273","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2600:1901:1:a8::","TLSv1.2","117","Application Data"
"74","26.560226","2600:1901:1:a8::","2409:4050:2d17:a717:5919:d4b2:62b0:c143","TCP","74","443  >  51885 [ACK] Seq=1 Ack=44 Win=272 Len=0"
"75","26.673326","2600:1901:1:a8::","2409:4050:2d17:a717:5919:d4b2:62b0:c143","TLSv1.2","114","Application Data"
"76","26.713527","2409:4050:2d17:a717:5919:d4b2:62b0:c143","2600:1901:1:a8::","TCP","74","51885  >  443 [ACK] Seq=44 Ack=41 Win=256 Len=0"
"77","27.124662","162.159.134.234","192.168.61.38","TLSv1.2","172","Application Data"
"78","27.165350","192.168.61.38","162.159.134.234","TCP","60","52733  >  443 [ACK] Seq=145 Ack=2465 Win=255 Len=0"
